Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
444,P.J. Tucker,PF,38,PHI,3,3,66,1.5,3.7,.400,1.5,3.7,.400,0.0,0.0,,0.0,0.0,,0.7,9.5,10.2,0.0,2.2,1.5,1.5,6.6,4.4,,89,110
444,P.J. Tucker,PF,38,LAC,12,0,173,1.1,4.0,.286,0.8,3.1,.273,0.3,0.8,.333,0.8,0.8,1.000,4.2,4.0,8.2,2.3,1.7,0.3,0.6,7.4,4.0,,133,114
445,Myles Turner,C,27,IND,22,22,612,10.7,20.7,.518,2.3,7.1,.330,8.4,13.7,.615,5.3,6.8,.769,3.2,10.1,13.3,2.2,1.1,3.5,2.3,5.4,29.1,,120,116
446,Hunter Tyson,PF,23,DEN,8,0,20,2.5,9.8,.250,0.0,7.4,.000,2.5,2.5,1.000,0.0,0.0,,0.0,12.3,12.3,2.5,0.0,0.0,0.0,12.3,4.9,,70,114
447,Stanley Umude,SG,24,DET,15,0,155,6.2,13.6,.455,4.3,8.3,.519,1.9,5.2,.353,6.5,7.1,.913,0.9,7.7,8.6,2.5,1.2,1.5,3.1,7.4,23.2,,123,118
448,Jonas Valančiūnas,C,31,NOP,25,25,681,9.6,17.1,.562,1.2,3.2,.370,8.4,13.8,.607,4.4,5.5,.795,4.2,12.3,16.5,4.2,0.8,2.3,2.4,5.6,24.7,,126,111
449,Jarred Vanderbilt,PF,24,LAL,4,0,60,1.6,5.6,.286,0.0,3.2,.000,1.6,2.4,.667,0.8,1.6,.500,4.0,10.4,14.3,3.2,1.6,1.6,0.8,3.2,4.0,,104,109
450,Fred VanVleet,PG,29,HOU,20,20,760,6.9,18.4,.378,3.9,10.4,.373,3.0,7.9,.385,3.5,4.1,.857,0.4,5.1,5.5,11.1,1.2,0.6,2.3,2.3,21.3,,117,110
451,Devin Vassell,SG,23,SAS,18,12,525,10.3,22.2,.464,4.0,11.3,.357,6.3,10.9,.574,3.7,4.7,.774,0.8,4.7,5.5,4.6,1.6,0.2,2.3,1.7,28.3,,112,120
452,Sasha Vezenkov,PF,28,SAC,20,0,286,7.7,17.6,.438,4.0,11.0,.364,3.7,6.5,.564,1.0,1.3,.750,2.0,6.7,8.7,1.5,1.7,1.0,1.2,4.0,20.4,,112,115
453,Gabe Vincent,PG,27,LAL,4,0,113,4.7,11.8,.393,0.4,5.9,.071,4.2,5.9,.714,0.4,0.8,.500,0.8,0.8,1.7,5.1,2.5,0.0,0.8,4.2,10.1,,99,115
454,Nikola Vučević,C,33,CHI,26,26,897,10.4,22.7,.456,1.4,5.2,.269,9.0,17.5,.511,2.1,2.5,.864,4.2,11.2,15.4,5.0,1.2,1.1,2.5,4.0,24.2,,109,115
455,Dean Wade,PF,27,CLE,18,11,368,3.2,8.9,.358,2.7,8.1,.328,0.5,0.8,.667,0.9,1.3,.700,2.9,7.3,10.2,1.9,2.3,0.5,1.1,4.9,10.0,,115,111
456,Franz Wagner,SF,22,ORL,23,23,762,11.0,24.0,.458,2.2,7.2,.304,8.8,16.8,.524,5.6,6.7,.832,1.7,6.5,8.2,5.4,1.5,0.5,2.4,3.0,29.8,,115,110
457,Moritz Wagner,C,26,ORL,23,0,444,12.0,19.2,.624,1.4,4.1,.342,10.6,15.1,.700,5.2,6.7,.774,3.6,6.9,10.5,2.8,1.3,1.0,3.6,5.9,30.6,,124,110
458,Ish Wainright,SF,29,POR,2,0,5,0.0,9.8,.000,0.0,9.8,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,9.8,0.0,0.0,9.8,0.0,,0,102
459,Jabari Walker,SF,21,POR,23,0,428,7.7,16.8,.459,1.4,5.4,.255,6.3,11.4,.556,3.6,4.7,.756,4.4,9.1,13.4,2.0,2.1,1.0,2.4,5.9,20.3,,110,112
460,Jarace Walker,PF,20,IND,6,0,47,7.8,20.5,.381,1.0,6.8,.143,6.8,13.7,.500,2.9,2.9,1.000,1.0,6.8,7.8,7.8,2.0,2.9,2.0,7.8,19.6,,103,117
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
461,Lonnie Walker IV,SG,25,BRK,17,0,362,11.9,24.3,.489,5.9,12.8,.463,5.9,11.5,.518,3.9,5.1,.763,0.4,5.7,6.1,3.8,1.3,0.9,3.4,2.2,33.6,,117,117
462,Cason Wallace,SG,20,OKC,23,5,509,6.2,10.6,.584,2.4,4.7,.520,3.7,5.9,.635,1.1,1.4,.800,1.0,3.8,4.9,3.0,1.3,1.0,1.0,3.8,15.9,,137,115
463,P.J. Washington,PF,25,CHO,21,12,626,8.2,18.9,.433,3.1,9.4,.328,5.1,9.5,.537,2.2,3.0,.718,1.8,6.5,8.3,3.9,1.2,1.5,2.3,4.5,21.7,,107,121
464,TyTy Washington Jr.,PG,22,MIL,2,0,6,7.9,23.6,.333,7.9,15.7,.500,0.0,7.9,.000,0.0,0.0,,0.0,7.9,7.9,0.0,7.9,0.0,15.7,0.0,23.6,,54,103
465,Yuta Watanabe,SF,29,PHO,18,0,320,4.3,12.4,.350,3.6,10.2,.348,0.8,2.2,.357,1.4,2.0,.692,1.5,4.5,6.0,1.5,1.1,1.1,2.2,4.5,13.6,,99,118
466,Lindy Waters III,SG,26,OKC,9,0,70,6.1,15.0,.409,5.4,14.3,.381,0.7,0.7,1.000,0.0,0.0,,0.7,3.4,4.1,4.1,0.0,0.7,0.0,4.1,17.7,,130,119
467,Trendon Watford,PF,23,BRK,17,0,254,9.4,18.1,.521,1.0,3.3,.294,8.5,14.8,.571,3.1,3.3,.941,3.7,8.1,11.7,6.5,1.7,1.0,3.7,6.9,22.9,,117,114
468,Peyton Watson,SF,21,DEN,24,0,394,6.2,12.9,.485,0.7,3.4,.222,5.5,9.5,.579,2.5,3.7,.667,1.7,4.9,6.6,3.1,1.6,2.9,1.9,4.6,15.7,,109,112
469,Victor Wembanyama,PF,20,SAS,22,22,670,11.2,25.6,.437,2.2,7.9,.274,9.0,17.6,.510,5.3,6.7,.792,3.8,12.7,16.5,3.9,2.0,4.6,5.3,4.1,29.8,,97,109
470,Blake Wesley,SG,20,SAS,5,0,24,5.9,15.7,.375,0.0,2.0,.000,5.9,13.7,.429,2.0,3.9,.500,2.0,2.0,3.9,9.8,0.0,2.0,2.0,5.9,13.7,,99,123
471,Russell Westbrook,PG,35,LAC,24,10,595,9.0,20.1,.447,1.4,4.9,.283,7.6,15.1,.500,3.0,4.8,.621,3.0,9.5,12.5,9.4,2.1,1.0,4.8,4.1,22.3,,103,109
472,Coby White,PG,23,CHI,26,26,893,8.7,19.4,.448,4.7,10.9,.428,4.0,8.5,.474,2.9,3.5,.810,0.6,4.8,5.4,6.9,1.3,0.3,2.6,3.9,25.0,,118,120
473,Derrick White,SG,29,BOS,20,20,655,7.4,15.3,.483,3.7,8.8,.427,3.7,6.6,.557,4.5,5.1,.882,1.1,4.7,5.8,7.5,1.8,1.3,2.8,3.5,23.0,,130,111
474,Cam Whitmore,SF,19,HOU,5,0,32,10.8,23.1,.467,1.5,7.7,.200,9.2,15.4,.600,7.7,15.4,.500,1.5,10.8,12.3,3.1,1.5,0.0,3.1,3.1,30.8,,100,107
475,Aaron Wiggins,SG,25,OKC,21,0,248,7.9,12.9,.612,2.1,4.4,.478,5.8,8.5,.682,2.9,4.0,.714,2.3,5.8,8.1,2.7,1.7,0.2,2.1,4.0,20.8,,130,114
476,Andrew Wiggins,SF,28,GSW,22,21,586,8.5,20.5,.414,1.6,5.9,.264,6.9,14.6,.475,3.1,5.0,.623,3.5,4.4,7.8,2.0,0.5,0.7,3.5,4.6,21.6,,95,119
477,Lindell Wigginton,PG,25,MIL,1,0,2,0.0,23.6,.000,0.0,23.6,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,23.6,23.6,0.0,,0,125
478,Grant Williams,PF,25,DAL,21,21,623,5.5,12.8,.425,3.8,9.2,.408,1.7,3.6,.468,1.5,2.4,.645,1.8,4.1,5.9,2.6,0.5,0.8,1.5,4.4,16.2,,117,120
479,Jalen Williams,PF,22,OKC,20,20,647,9.4,19.0,.496,1.5,4.3,.362,7.9,14.7,.535,4.9,5.5,.880,0.6,5.5,6.1,5.4,1.3,0.5,2.7,4.3,25.3,,115,115
480,Jaylin Williams,C,21,OKC,18,0,231,5.2,13.8,.373,2.9,8.5,.341,2.3,5.4,.423,2.3,2.5,.917,2.1,10.7,12.8,5.4,1.2,0.4,1.7,6.0,15.5,,114,110
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
481,Jeenathan Williams,SG,24,HOU,4,0,22,13.4,24.6,.545,0.0,4.5,.000,13.4,20.2,.667,2.2,4.5,.500,0.0,0.0,0.0,4.5,2.2,0.0,0.0,4.5,29.1,,115,111
482,Kenrich Williams,PF,29,OKC,13,0,191,6.5,13.0,.500,2.5,6.0,.417,4.0,7.0,.571,0.7,2.5,.300,2.0,6.2,8.2,4.7,1.2,0.5,0.7,5.7,16.2,,125,114
