Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
16,Deandre Ayton,C,25,POR,19,19,596,9.4,16.2,.579,0.0,0.0,,9.4,16.2,.579,1.6,1.9,.826,5.0,11.7,16.7,2.3,1.9,1.2,3.2,4.0,20.4,,112,111
17,Udoka Azubuike,C,24,PHO,2,0,9,5.5,5.5,1.000,0.0,0.0,,5.5,5.5,1.000,0.0,0.0,,0.0,22.0,22.0,0.0,0.0,0.0,0.0,5.5,11.0,,200,110
18,Marvin Bagley III,C,24,DET,20,7,366,10.1,17.5,.575,0.1,0.7,.200,9.9,16.9,.589,5.4,6.3,.854,4.8,7.7,12.6,3.0,0.3,1.6,3.4,3.9,25.6,,119,120
19,Amari Bailey,PG,19,CHO,1,0,3,16.1,48.4,.333,0.0,0.0,,16.1,48.4,.333,0.0,0.0,,32.3,0.0,32.3,0.0,0.0,0.0,0.0,0.0,32.3,,104,130
20,Patrick Baldwin Jr.,SF,21,WAS,6,0,36,5.1,14.1,.364,3.9,6.4,.600,1.3,7.7,.167,5.1,5.1,1.000,2.6,9.0,11.6,3.9,0.0,1.3,0.0,5.1,19.3,,135,123
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,LaMelo Ball,PG,22,CHO,15,15,501,12.8,28.8,.443,5.0,13.0,.388,7.7,15.8,.488,5.2,6.1,.857,2.2,5.7,7.9,11.9,2.0,0.4,5.7,5.0,35.8,,112,121
22,Mo Bamba,C,25,PHI,12,0,74,10.4,20.9,.500,2.0,5.2,.375,8.5,15.6,.542,5.2,6.5,.800,10.4,9.1,19.6,2.0,0.7,5.9,4.6,5.9,28.0,,118,109
23,Paolo Banchero,PF,21,ORL,23,23,772,10.9,22.2,.490,1.7,4.5,.389,9.1,17.7,.516,6.1,8.9,.685,2.0,7.8,9.8,6.5,1.5,0.8,4.5,3.2,29.6,,109,109
24,Desmond Bane,SG,25,MEM,22,22,757,12.8,27.2,.469,4.7,12.2,.382,8.1,15.0,.540,4.6,5.3,.867,1.3,4.8,6.1,7.4,1.8,1.0,4.1,4.5,34.8,,113,114
25,Dalano Banton,PG,24,BOS,11,1,91,7.0,14.5,.481,0.5,3.8,.143,6.5,10.8,.600,2.7,3.2,.833,5.4,8.1,13.5,2.7,1.1,1.1,2.7,6.5,17.2,,113,111
26,Dominick Barlow,PF,20,SAS,7,0,35,4.0,9.4,.429,0.0,0.0,,4.0,9.4,.429,2.7,5.4,.500,0.0,6.7,6.7,0.0,1.3,0.0,0.0,2.7,10.8,,95,120
27,Harrison Barnes,PF,31,SAC,23,23,699,6.0,12.8,.465,2.7,7.1,.375,3.3,5.7,.578,2.9,3.5,.824,1.4,3.8,5.2,2.3,1.1,0.3,1.3,1.7,17.5,,121,119
28,Scottie Barnes,SG,22,TOR,24,24,838,10.5,21.8,.483,2.9,7.4,.394,7.6,14.4,.528,4.1,5.4,.753,3.8,8.9,12.7,7.8,2.3,1.7,3.4,2.8,28.0,,119,111
29,RJ Barrett,SG,23,NYK,18,18,529,11.1,26.3,.421,3.2,9.0,.354,7.9,17.3,.457,6.8,8.2,.828,1.1,5.6,6.7,4.3,0.8,0.4,2.9,2.4,32.2,,112,117
30,Charles Bassey,C,23,SAS,19,0,205,6.7,9.2,.725,0.0,0.2,.000,6.7,8.9,.744,1.1,1.4,.833,5.3,12.2,17.4,4.8,1.8,3.9,3.4,7.1,14.5,,126,110
31,Emoni Bates,SF,20,CLE,7,0,52,3.8,14.1,.267,2.8,11.3,.250,0.9,2.8,.333,0.9,1.9,.500,0.9,7.5,8.5,1.9,0.9,0.9,0.9,1.9,11.3,,85,114
