Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
434,Klay Thompson,SF,33,GSW,23,23.0,692.0,8.7,21.4,.407,4.7,12.8,.364,4.0,8.6,.472,3.6,4.0,.897,0.9,5.2,6.1,3.4,0.7,0.8,3.0,3.5,25.7,,108.0,118.0,33,29,-10.0,30
102,Stephen Curry,PG,35,GSW,22,22.0,742.0,12.5,27.1,.460,7.1,17.2,.413,5.4,9.9,.542,8.8,9.4,.938,0.9,6.2,7.1,6.2,1.1,0.3,4.7,2.5,40.9,,122.0,117.0,76,37,5.0,68
476,Andrew Wiggins,SF,28,GSW,22,21.0,586.0,8.5,20.5,.414,1.6,5.9,.264,6.9,14.6,.475,3.1,5.0,.623,3.5,4.4,7.8,2.0,0.5,0.7,3.5,4.6,21.6,,95.0,119.0,14,23,-24.0,13
159,Draymond Green,PF,33,GSW,15,15.0,377.0,6.5,13.3,.490,2.3,5.4,.429,4.2,7.9,.532,3.2,3.8,.833,2.8,7.8,10.6,11.1,0.8,1.4,4.6,5.8,18.5,,120.0,115.0,71,52,5.0,68
264,Kevon Looney,C,27,GSW,24,21.0,532.0,5.1,8.8,.577,0.0,0.0,,5.1,8.8,.577,2.0,2.9,.688,6.2,11.7,17.9,5.9,1.6,0.6,2.0,5.6,12.1,,134.0,112.0,92,73,22.0,93
342,Chris Paul,PG,38,GSW,21,7.0,562.0,5.7,14.1,.409,2.2,6.4,.347,3.5,7.6,.461,2.6,2.8,.909,0.5,5.9,6.4,13.0,2.5,0.1,2.1,3.3,16.3,,126.0,114.0,83,60,12.0,81
