Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
24,Desmond Bane,SG,25,MEM,22,22.0,757.0,12.8,27.2,.469,4.7,12.2,.382,8.1,15.0,.540,4.6,5.3,.867,1.3,4.8,6.1,7.4,1.8,1.0,4.1,4.5,34.8,,113.0,114.0,47,60,-1.0,53
410,Marcus Smart,PG,29,MEM,11,11.0,329.0,7.5,17.5,.429,2.6,9.0,.295,4.9,8.5,.569,2.5,3.1,.810,0.4,3.5,4.0,8.1,3.2,0.6,5.4,5.1,20.1,,96.0,112.0,15,73,-16.0,21
381,David Roddy,PF,22,MEM,23,8.0,560.0,6.7,16.0,.416,2.1,6.9,.300,4.6,9.1,.505,1.3,2.0,.652,2.1,6.6,8.6,2.4,1.4,0.7,1.9,2.9,16.7,,99.0,114.0,19,60,-15.0,22
487,Ziaire Williams,SF,22,MEM,21,8.0,426.0,6.5,16.9,.383,2.7,8.4,.324,3.7,8.5,.440,2.7,3.1,.889,1.5,8.1,9.5,3.1,1.1,0.6,2.7,4.3,18.4,,98.0,114.0,18,60,-16.0,21
214,Jaren Jackson Jr.,C,24,MEM,23,23.0,730.0,11.4,25.4,.449,2.7,8.0,.333,8.7,17.4,.502,7.8,9.3,.837,2.4,6.5,8.9,2.7,1.2,2.7,2.9,5.4,33.3,,111.0,112.0,40,73,-1.0,53
4,Santi Aldama,PF,23,MEM,17,5.0,439.0,9.0,20.5,.441,3.1,9.6,.322,6.0,10.9,.545,2.0,3.2,.621,2.9,8.4,11.2,4.2,1.4,1.5,2.1,3.4,23.1,,108.0,112.0,33,73,-4.0,43
