Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
23,Paolo Banchero,PF,21,ORL,23,23.0,772.0,10.9,22.2,.490,1.7,4.5,.389,9.1,17.7,.516,6.1,8.9,.685,2.0,7.8,9.8,6.5,1.5,0.8,4.5,3.2,29.6,,109.0,109.0,36,89,0.0,56
456,Franz Wagner,SF,22,ORL,23,23.0,762.0,11.0,24.0,.458,2.2,7.2,.304,8.8,16.8,.524,5.6,6.7,.832,1.7,6.5,8.2,5.4,1.5,0.5,2.4,3.0,29.8,,115.0,110.0,54,85,5.0,68
423,Jalen Suggs,SG,22,ORL,21,21.0,549.0,7.7,16.9,.456,2.9,7.8,.371,4.8,9.1,.529,4.0,4.9,.821,1.2,5.2,6.4,4.9,3.3,1.1,3.7,5.2,22.3,,109.0,106.0,36,96,3.0,63
44,Anthony Black,PG,20,ORL,21,17.0,403.0,4.6,9.4,.494,0.8,3.1,.269,3.8,6.3,.604,1.9,3.0,.640,1.3,4.3,5.6,3.6,1.0,1.0,2.5,5.2,12.0,,105.0,112.0,27,73,-7.0,36
41,Goga Bitadze,C,24,ORL,21,18.0,441.0,6.5,11.1,.588,0.1,0.5,.200,6.4,10.5,.608,3.6,5.0,.717,4.9,8.8,13.7,4.2,1.5,3.8,1.5,5.5,16.7,,134.0,105.0,92,97,29.0,95
12,Cole Anthony,PG,23,ORL,23,0.0,589.0,9.4,20.7,.453,2.6,7.0,.372,6.8,13.7,.494,6.9,8.2,.842,2.0,6.4,8.5,6.8,1.3,1.0,3.6,5.7,28.2,,116.0,110.0,58,85,6.0,71
