Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
35,Malik Beasley,SG,27,MIL,24,24.0,727.0,6.8,14.0,.484,4.6,10.1,.458,2.1,3.9,.550,0.5,0.8,.667,1.1,5.8,6.9,2.3,1.5,0.3,1.0,3.2,18.6,,127.0,118.0,84,29,9.0,77
10,Giannis Antetokounmpo,PF,29,MIL,23,23.0,804.0,16.2,26.0,.623,0.5,2.3,.225,15.7,23.7,.663,10.3,15.3,.677,3.6,11.0,14.6,6.8,2.1,1.7,5.3,4.0,43.3,,124.0,112.0,80,73,12.0,81
258,Damian Lillard,PG,33,MIL,22,22.0,782.0,9.4,22.5,.419,3.9,11.2,.346,5.6,11.3,.492,10.3,11.2,.914,0.8,5.2,6.0,9.3,1.3,0.3,3.7,2.1,33.0,,123.0,119.0,78,23,4.0,65
297,Khris Middleton,SF,32,MIL,20,20.0,451.0,10.1,21.3,.473,2.8,7.9,.360,7.2,13.4,.539,3.2,4.1,.795,1.7,8.8,10.5,9.0,1.8,0.1,3.9,4.2,26.2,,114.0,116.0,50,45,-2.0,49
265,Brook Lopez,C,35,MIL,24,24.0,739.0,7.6,15.4,.494,2.7,7.9,.347,4.9,7.5,.650,2.6,3.2,.800,2.2,5.3,7.5,2.3,1.3,4.5,1.4,4.2,20.5,,123.0,114.0,78,60,9.0,77
356,Bobby Portis,PF,28,MIL,24,0.0,568.0,9.6,19.5,.491,1.7,5.2,.323,7.9,14.3,.552,2.4,3.1,.784,2.9,9.8,12.7,2.3,1.4,1.1,1.7,4.7,23.2,,114.0,115.0,50,52,-1.0,53
