Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
175,Tobias Harris,PF,31,PHI,23,23.0,793.0,8.9,17.3,.516,1.5,4.3,.338,7.5,13.0,.575,4.5,5.1,.892,1.3,7.2,8.5,3.7,1.3,0.4,2.4,2.3,23.9,,120.0,115.0,71,52,5.0,68
293,De'Anthony Melton,SG,25,PHI,23,23.0,684.0,6.8,17.1,.397,3.7,9.7,.384,3.0,7.3,.413,3.4,4.2,.800,1.3,5.4,6.7,6.0,2.4,0.8,2.2,4.2,20.7,,116.0,113.0,58,67,3.0,63
282,Tyrese Maxey,PG,23,PHI,22,22.0,826.0,11.5,25.0,.460,4.1,10.4,.393,7.4,14.6,.508,6.5,7.2,.895,0.8,4.6,5.3,8.7,1.0,0.8,1.8,2.4,33.6,,130.0,117.0,88,37,13.0,83
33,Nicolas Batum,PF,35,PHI,14,11.0,355.0,4.5,7.5,.600,3.0,5.7,.524,1.5,1.8,.846,1.0,1.5,.636,2.0,5.3,7.3,3.8,1.0,1.2,0.8,3.8,12.9,,157.0,116.0,98,45,41.0,98
125,Joel Embiid,C,29,PHI,20,20.0,687.0,15.7,30.1,.523,1.5,4.7,.328,14.2,25.4,.560,14.4,16.3,.884,4.6,11.4,16.1,8.9,1.5,2.5,5.3,3.9,47.4,,128.0,109.0,86,89,19.0,90
39,Patrick Beverley,PG,35,PHI,23,1.0,408.0,4.8,11.1,.436,1.9,5.9,.320,3.0,5.2,.568,1.5,2.4,.650,2.4,5.8,8.2,6.6,1.3,0.7,1.9,5.1,13.1,,120.0,115.0,71,52,5.0,68
