Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
354,Michael Porter Jr.,SF,25,DEN,26,26.0,816.0,10.0,21.2,.473,4.3,11.3,.380,5.7,9.9,.579,1.8,2.4,.750,2.6,9.8,12.4,2.5,0.8,1.2,1.8,3.4,26.1,,116.0,113.0,58,67,3.0,63
77,Kentavious Caldwell-Pope,SG,30,DEN,25,25.0,822.0,5.5,12.1,.450,2.2,5.3,.404,3.3,6.8,.487,2.8,3.1,.902,0.6,2.3,2.9,3.8,2.2,0.7,1.8,3.1,15.8,,116.0,116.0,58,45,0.0,56
153,Aaron Gordon,PF,28,DEN,22,22.0,713.0,8.3,16.6,.500,0.7,3.0,.227,7.6,13.5,.561,2.3,4.4,.524,4.2,6.5,10.7,5.4,1.5,1.1,2.4,2.6,19.5,,113.0,114.0,47,60,-1.0,53
215,Reggie Jackson,PG,33,DEN,26,14.0,682.0,10.1,20.6,.491,3.3,8.0,.414,6.8,12.6,.540,2.0,2.8,.718,0.6,3.5,4.2,8.7,1.4,0.5,3.0,3.8,25.6,,116.0,117.0,58,37,-1.0,53
226,Nikola Jokić,C,28,DEN,25,25.0,834.0,15.6,28.8,.541,1.7,5.6,.305,13.9,23.2,.598,7.2,9.2,.782,4.9,13.9,18.8,13.9,1.7,1.2,4.0,3.8,40.1,,129.0,109.0,87,89,20.0,91
55,Christian Braun,SG,22,DEN,26,0.0,525.0,8.3,17.2,.481,1.6,4.1,.386,6.7,13.0,.511,3.1,4.1,.750,2.1,7.5,9.6,4.5,0.9,0.8,1.9,4.0,21.2,,115.0,115.0,54,52,0.0,56
