Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
317,Dejounte Murray,SG,27,ATL,23,23.0,789.0,10.5,23.4,.448,3.2,8.3,.388,7.2,15.1,.480,3.4,3.9,.864,1.1,5.0,6.0,7.3,2.2,0.4,3.0,2.0,27.5,,115.0,121.0,54,14,-6.0,38
495,Trae Young,PG,25,ATL,21,21.0,751.0,11.0,26.4,.417,4.0,11.2,.358,7.0,15.1,.461,9.9,11.3,.872,0.8,2.8,3.6,14.3,1.9,0.2,5.2,2.1,35.8,,120.0,123.0,71,7,-3.0,45
204,De'Andre Hunter,SF,26,ATL,21,21.0,643.0,7.7,17.1,.451,2.8,7.5,.373,4.9,9.6,.511,4.5,5.1,.899,1.0,5.5,6.5,2.1,1.3,0.5,2.4,4.8,22.7,,115.0,122.0,54,10,-7.0,36
223,Jalen Johnson,SF,22,ATL,15,12.0,449.0,8.9,15.0,.594,1.8,4.2,.425,7.1,10.8,.660,2.6,3.5,.758,2.1,9.3,11.4,3.8,1.8,1.6,3.1,3.5,22.3,,122.0,118.0,76,29,4.0,65
79,Clint Capela,C,29,ATL,23,23.0,586.0,8.8,15.6,.567,0.0,0.0,,8.8,15.6,.567,3.0,4.7,.638,8.9,10.2,19.1,2.1,1.2,3.1,1.5,4.9,20.7,,132.0,117.0,90,37,15.0,85
40,Saddiq Bey,SF,24,ATL,23,11.0,707.0,7.3,15.1,.487,2.7,7.3,.376,4.6,7.8,.590,2.6,3.3,.796,3.3,6.0,9.3,1.9,1.7,0.3,1.7,2.4,20.0,,124.0,122.0,80,10,2.0,61
