Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
119,Kevin Durant,PF,35,PHO,20,20.0,735.0,14.2,27.3,.520,3.0,6.3,.484,11.2,21.0,.530,10.0,11.3,.887,0.4,8.3,8.7,7.5,1.0,1.7,4.8,2.7,41.4,,121.0,115.0,74,52,6.0,71
6,Grayson Allen,SG,28,PHO,19,19.0,629.0,6.1,12.7,.481,3.5,7.4,.468,2.7,5.3,.500,2.7,3.0,.895,1.1,5.7,6.8,4.3,1.0,0.6,2.2,3.5,18.4,,124.0,118.0,80,29,6.0,71
154,Eric Gordon,SG,35,PHO,21,16.0,673.0,8.4,18.1,.463,4.2,10.5,.399,4.2,7.6,.553,1.0,1.2,.824,0.5,2.6,3.1,4.4,1.6,0.9,2.4,2.3,22.0,,112.0,118.0,44,29,-6.0,38
50,Devin Booker,SG,27,PHO,15,15.0,527.0,12.8,26.3,.489,2.9,6.8,.425,9.9,19.4,.512,11.0,11.9,.921,1.4,7.2,8.6,11.6,1.0,0.7,4.3,4.8,39.6,,127.0,117.0,84,37,10.0,79
331,Jusuf Nurkić,C,29,PHO,24,24.0,678.0,7.7,16.8,.461,1.2,4.3,.271,6.6,12.5,.526,4.7,6.5,.719,5.0,12.2,17.1,6.9,1.7,2.1,3.4,6.3,21.3,,116.0,110.0,58,85,6.0,71
335,Josh Okogie,SG,25,PHO,23,11.0,491.0,4.5,10.9,.417,1.4,5.1,.275,3.1,5.7,.544,4.6,6.0,.767,3.8,4.0,7.9,2.7,2.2,1.2,1.9,3.1,15.1,,119.0,116.0,68,45,3.0,63
