Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
403,Shaedon Sharpe,SG,20,POR,23,22.0,844.0,8.3,20.1,.414,2.9,8.3,.352,5.4,11.8,.458,4.7,5.7,.827,2.0,5.6,7.6,4.8,1.3,0.5,3.7,4.0,24.3,,106.0,117.0,29,37,-11.0,28
156,Jerami Grant,PF,29,POR,19,19.0,664.0,10.3,23.5,.437,3.6,8.8,.412,6.7,14.7,.452,6.9,8.3,.830,1.0,4.4,5.4,3.1,1.2,1.3,3.5,3.1,31.1,,110.0,117.0,38,37,-7.0,36
78,Toumani Camara,PF,23,POR,23,14.0,594.0,5.1,12.8,.400,1.7,5.9,.282,3.5,7.0,.500,1.7,2.6,.677,4.0,5.0,9.0,2.2,1.7,1.1,2.1,5.5,13.7,,104.0,116.0,25,45,-12.0,26
437,Matisse Thybulle,SF,26,POR,23,12.0,546.0,4.8,10.2,.469,3.3,8.0,.416,1.4,2.2,.667,0.5,0.7,.750,0.8,3.2,4.0,2.3,3.2,1.5,1.5,2.4,13.4,,119.0,113.0,68,67,6.0,71
16,Deandre Ayton,C,25,POR,19,19.0,596.0,9.4,16.2,.579,0.0,0.0,,9.4,16.2,.579,1.6,1.9,.826,5.0,11.7,16.7,2.3,1.9,1.2,3.2,4.0,20.4,,112.0,111.0,44,79,1.0,59
59,Malcolm Brogdon,PG,31,POR,16,10.0,436.0,10.6,25.6,.414,3.7,9.6,.388,6.9,16.0,.430,4.8,6.3,.768,1.7,5.1,6.8,10.4,1.5,0.3,3.0,2.1,29.8,,114.0,117.0,50,37,-3.0,45
