Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
386,D'Angelo Russell,PG,27,LAL,25,25.0,753.0,9.7,20.3,.478,3.3,8.5,.388,6.4,11.8,.543,2.7,3.6,.768,0.6,4.5,5.1,10.2,1.3,0.8,3.0,3.4,25.4,,117.0,114.0,61,60,3.0,63
217,LeBron James,PF,39,LAL,23,23.0,774.0,13.5,24.4,.551,3.3,8.1,.405,10.2,16.4,.623,5.7,8.0,.715,1.3,9.4,10.7,9.6,2.2,1.0,4.9,1.6,35.9,,118.0,109.0,65,89,9.0,77
361,Taurean Prince,PF,29,LAL,23,23.0,688.0,5.6,12.6,.440,3.0,7.7,.387,2.6,4.9,.521,1.0,1.4,.700,0.5,3.7,4.2,2.6,1.2,0.6,1.4,3.3,15.1,,108.0,115.0,33,52,-7.0,36
370,Cam Reddish,SF,24,LAL,21,14.0,503.0,4.8,11.5,.421,1.7,5.1,.333,3.1,6.4,.493,2.8,3.2,.853,1.1,4.4,5.5,2.6,2.8,0.7,1.3,3.4,14.2,,111.0,111.0,40,79,0.0,56
104,Anthony Davis,C,30,LAL,24,24.0,846.0,12.1,22.3,.544,0.3,1.0,.333,11.8,21.3,.554,7.8,9.5,.817,4.9,12.1,16.9,4.1,1.5,3.5,2.7,3.6,32.4,,123.0,106.0,78,96,17.0,87
369,Austin Reaves,SG,25,LAL,25,8.0,731.0,8.2,17.3,.473,2.5,7.2,.355,5.6,10.1,.558,4.8,5.6,.859,1.5,6.2,7.7,8.1,1.6,0.1,3.9,2.4,23.7,,114.0,113.0,50,67,1.0,59
