Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
100,Cade Cunningham,PG,22,DET,24,24.0,835.0,11.2,26.6,.420,2.7,8.3,.324,8.5,18.3,.464,5.2,5.9,.883,0.7,4.8,5.5,10.0,1.3,0.3,5.7,3.7,30.3,,102.0,121.0,23,14,-19.0,17
420,Isaiah Stewart,PF,22,DET,24,24.0,738.0,6.0,13.2,.458,2.1,5.8,.371,3.9,7.4,.526,2.1,2.7,.786,2.9,8.0,10.8,2.3,0.5,0.9,2.7,4.0,16.3,,107.0,120.0,30,18,-13.0,24
433,Ausar Thompson,SF,21,DET,24,20.0,664.0,7.6,16.4,.465,0.5,3.5,.143,7.1,12.9,.553,2.5,3.6,.680,5.0,9.5,14.6,4.3,1.7,2.2,3.2,6.1,18.2,,105.0,115.0,27,52,-10.0,30
182,Killian Hayes,PG,22,DET,23,19.0,624.0,6.8,15.6,.436,1.4,4.4,.310,5.4,11.2,.486,1.9,2.8,.694,0.6,4.7,5.3,7.9,2.0,1.1,1.8,3.5,17.0,,111.0,118.0,40,29,-7.0,36
120,Jalen Duren,C,20,DET,14,13.0,404.0,9.5,15.0,.630,0.0,0.2,.000,9.5,14.8,.640,1.9,3.3,.571,5.6,12.6,18.1,4.1,0.9,2.3,4.5,5.7,20.9,,111.0,115.0,40,52,-4.0,43
210,Jaden Ivey,SG,21,DET,20,6.0,469.0,8.2,17.2,.473,1.8,6.3,.290,6.3,10.9,.579,4.9,6.2,.787,1.4,4.0,5.4,5.3,1.5,0.9,3.7,5.2,23.1,,109.0,120.0,36,18,-11.0,28
