Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
207,Brandon Ingram,SF,26,NOP,22,22.0,743.0,12.9,26.0,.495,1.8,6.1,.298,11.0,19.9,.555,6.1,7.6,.797,0.8,6.2,7.0,7.5,1.0,0.3,3.7,3.0,33.6,,113.0,117.0,47,37,-4.0,43
230,Herbert Jones,SF,25,NOP,22,22.0,674.0,6.3,12.8,.494,1.8,5.3,.338,4.6,7.5,.604,4.0,4.6,.875,2.0,5.1,7.0,4.4,2.7,1.9,2.3,5.5,18.4,,121.0,112.0,74,73,9.0,77
488,Zion Williamson,PF,23,NOP,20,20.0,620.0,13.9,23.8,.584,0.2,0.5,.333,13.8,23.4,.589,7.4,11.3,.658,2.9,5.7,8.6,7.3,1.7,0.5,4.1,3.9,35.5,,119.0,115.0,68,52,4.0,65
103,Dyson Daniels,PG,20,NOP,25,13.0,621.0,5.0,12.8,.394,1.3,5.5,.239,3.7,7.3,.511,1.5,2.3,.667,2.2,6.7,8.9,5.9,2.9,0.8,2.2,3.7,12.9,,103.0,112.0,24,73,-9.0,31
448,Jonas Valančiūnas,C,31,NOP,25,25.0,681.0,9.6,17.1,.562,1.2,3.2,.370,8.4,13.8,.607,4.4,5.5,.795,4.2,12.3,16.5,4.2,0.8,2.3,2.4,5.6,24.7,,126.0,111.0,83,79,15.0,85
180,Jordan Hawkins,SG,21,NOP,24,9.0,616.0,7.0,18.5,.380,4.4,12.1,.361,2.6,6.4,.415,3.1,3.6,.870,1.3,5.1,6.5,3.0,0.8,0.0,1.7,3.4,21.5,,109.0,118.0,36,29,-9.0,31
