Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
33,Nicolas Batum,PF,35,TOT,17,11.0,409.0,4.3,7.4,.571,2.8,5.8,.490,1.4,1.7,.857,0.8,1.3,.636,1.8,5.4,7.2,3.9,1.2,1.5,0.8,3.9,12.2,,152.0,115.0,97,52,37.0,97
97,Robert Covington,SF-PF,33,TOT,22,6.0,391.0,4.7,10.4,.452,2.4,6.3,.373,2.4,4.1,.576,2.6,3.0,.875,3.3,6.6,9.9,2.5,3.7,1.9,1.0,5.2,14.4,,134.0,108.0,92,92,26.0,95
444,P.J. Tucker,PF,38,TOT,15,3.0,239.0,1.2,3.9,.316,1.0,3.3,.313,0.2,0.6,.333,0.6,0.6,1.000,3.3,5.5,8.8,1.6,1.8,0.6,0.8,7.1,4.1,,123.0,113.0,78,67,10.0,79
278,KJ Martin,SF,23,TOT,13,0.0,95.0,5.1,12.2,.417,0.5,3.1,.167,4.6,9.2,.500,1.5,3.1,.500,2.0,5.6,7.7,3.1,3.1,0.5,2.6,7.7,12.2,,93.0,111.0,13,79,-18.0,18
430,Daniel Theis,C,31,TOT,14,0.0,230.0,8.3,18.5,.448,1.3,3.4,.375,7.0,15.1,.465,1.9,3.0,.643,4.9,6.4,11.3,2.8,1.3,2.8,1.5,7.2,19.8,,111.0,111.0,40,79,0.0,56
345,Filip Petrušev,C,23,TOT,3,0.0,10.0,4.8,9.6,.500,0.0,0.0,,4.8,9.6,.500,4.8,9.6,.500,0.0,4.8,4.8,0.0,0.0,0.0,0.0,4.8,14.4,,108.0,120.0,33,18,-12.0,26
