Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
27,Harrison Barnes,PF,31,SAC,23,23.0,699.0,6.0,12.8,.465,2.7,7.1,.375,3.3,5.7,.578,2.9,3.5,.824,1.4,3.8,5.2,2.3,1.1,0.3,1.3,1.7,17.5,,121.0,119.0,74,23,2.0,61
202,Kevin Huerter,SG,25,SAC,22,22.0,572.0,7.7,18.2,.422,4.1,11.4,.360,3.6,6.9,.524,1.2,1.4,.824,1.2,6.8,7.9,5.1,1.5,0.6,1.4,4.2,20.7,,115.0,116.0,54,45,-1.0,53
319,Keegan Murray,SF,23,SAC,19,19.0,611.0,7.6,18.2,.416,3.0,9.8,.304,4.6,8.5,.546,2.4,2.8,.861,2.3,6.0,8.3,2.6,1.8,0.6,1.6,4.1,20.6,,109.0,115.0,36,52,-6.0,38
135,De'Aaron Fox,PG,26,SAC,18,18.0,639.0,14.2,29.9,.475,4.3,11.2,.387,9.9,18.7,.528,7.8,10.6,.732,1.2,4.7,5.9,8.6,1.9,0.4,3.4,3.7,40.6,,118.0,116.0,65,45,2.0,61
388,Domantas Sabonis,C,27,SAC,23,23.0,806.0,9.6,17.0,.563,0.7,1.8,.400,8.8,15.2,.582,5.3,8.0,.672,4.7,12.2,16.9,9.4,1.2,0.9,4.0,4.6,25.2,,124.0,113.0,80,67,11.0,81
310,Malik Monk,SG,25,SAC,23,0.0,583.0,9.2,20.9,.439,5.2,11.9,.434,4.0,9.0,.445,4.4,4.9,.900,1.0,3.9,4.9,9.5,1.3,0.8,4.5,3.2,28.0,,115.0,117.0,54,37,-2.0,49
