Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
145,Josh Giddey,SG,21,OKC,23,23.0,602.0,9.3,21.8,.425,1.6,4.7,.339,7.7,17.1,.449,1.7,2.1,.778,3.0,8.1,11.1,8.0,1.7,0.9,4.7,2.7,21.8,,98.0,111.0,18,79,-13.0,24
147,Shai Gilgeous-Alexander,PG,25,OKC,22,22.0,767.0,15.5,28.3,.546,1.5,4.5,.333,14.0,23.9,.586,9.9,10.9,.914,1.3,6.2,7.5,8.7,3.7,1.1,2.8,3.4,42.4,,130.0,108.0,88,92,22.0,93
114,Luguentz Dort,SF,24,OKC,22,22.0,624.0,5.7,13.1,.439,2.8,7.0,.391,3.0,6.0,.494,3.6,4.4,.825,2.2,4.7,6.9,2.0,1.5,1.4,1.7,5.0,17.8,,118.0,114.0,65,60,4.0,65
479,Jalen Williams,PF,22,OKC,20,20.0,647.0,9.4,19.0,.496,1.5,4.3,.362,7.9,14.7,.535,4.9,5.5,.880,0.6,5.5,6.1,5.4,1.3,0.5,2.7,4.3,25.3,,115.0,115.0,54,52,0.0,56
195,Chet Holmgren,C,21,OKC,23,23.0,686.0,9.7,18.5,.523,2.4,6.5,.372,7.2,12.0,.605,5.3,6.0,.884,2.8,9.9,12.7,3.9,1.4,3.9,3.1,4.6,27.0,,121.0,107.0,74,94,14.0,84
462,Cason Wallace,SG,20,OKC,23,5.0,509.0,6.2,10.6,.584,2.4,4.7,.520,3.7,5.9,.635,1.1,1.4,.800,1.0,3.8,4.9,3.0,1.3,1.0,1.0,3.8,15.9,,137.0,115.0,94,52,22.0,93
