Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
92,John Collins,PF,26,UTA,22,22.0,683.0,8.6,17.8,.482,2.2,5.7,.383,6.4,12.1,.529,3.2,4.3,.750,4.2,9.2,13.4,1.4,1.0,1.5,2.2,4.4,22.5,,116.0,118.0,58,29,-2.0,49
88,Jordan Clarkson,SG,31,UTA,19,19.0,586.0,9.5,23.8,.399,2.6,8.7,.295,6.9,15.1,.459,4.5,5.5,.833,2.0,3.3,5.3,7.8,1.3,0.2,4.7,2.2,26.1,,103.0,123.0,24,7,-20.0,15
143,Keyonte George,PG,20,UTA,24,16.0,618.0,6.5,18.0,.361,3.1,9.6,.320,3.4,8.5,.407,4.5,5.7,.781,0.9,4.7,5.6,9.4,0.9,0.2,4.3,2.0,20.5,,105.0,123.0,27,7,-18.0,18
275,Lauri Markkanen,PF,26,UTA,16,16.0,536.0,11.7,23.9,.487,4.8,12.3,.390,6.9,11.7,.589,6.1,7.4,.829,3.3,9.1,12.4,1.4,1.5,1.2,1.8,3.3,34.2,,127.0,118.0,84,29,9.0,77
237,Walker Kessler,C,22,UTA,17,10.0,426.0,7.8,13.9,.566,0.2,1.4,.167,7.6,12.5,.609,1.4,2.5,.545,6.3,9.9,16.1,1.9,0.8,5.3,2.5,4.2,17.3,,116.0,114.0,58,60,2.0,61
198,Talen Horton-Tucker,PG,23,UTA,25,9.0,554.0,8.6,21.2,.403,2.6,8.5,.309,5.9,12.8,.466,3.0,3.7,.810,1.0,5.0,5.9,9.1,2.1,1.0,4.2,4.9,22.7,,104.0,119.0,25,23,-15.0,22
