Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
472,Coby White,PG,23,CHI,26,26.0,893.0,8.7,19.4,.448,4.7,10.9,.428,4.0,8.5,.474,2.9,3.5,.810,0.6,4.8,5.4,6.9,1.3,0.3,2.6,3.9,25.0,,118.0,120.0,65,18,-2.0,49
107,DeMar DeRozan,SF,34,CHI,24,24.0,868.0,10.6,24.2,.437,1.4,3.8,.364,9.2,20.4,.450,8.4,10.2,.819,1.2,3.8,5.0,7.3,1.3,1.0,1.9,3.2,30.9,,118.0,119.0,65,23,-1.0,53
249,Zach LaVine,SG,28,CHI,18,18.0,635.0,10.4,23.6,.443,3.4,10.1,.336,7.0,13.4,.524,5.6,6.5,.866,0.5,6.5,7.0,4.8,1.3,0.3,2.8,2.9,29.9,,112.0,118.0,44,29,-6.0,38
484,Patrick Williams,PF,22,CHI,26,16.0,685.0,6.2,14.7,.420,2.1,6.1,.349,4.0,8.6,.470,2.3,3.2,.705,2.3,5.5,7.8,2.6,1.9,1.8,2.1,3.4,16.7,,105.0,116.0,27,45,-11.0,28
454,Nikola Vučević,C,33,CHI,26,26.0,897.0,10.4,22.7,.456,1.4,5.2,.269,9.0,17.5,.511,2.1,2.5,.864,4.2,11.2,15.4,5.0,1.2,1.1,2.5,4.0,24.2,,109.0,115.0,36,52,-6.0,38
98,Torrey Craig,SF,33,CHI,26,7.0,559.0,4.8,11.9,.409,2.2,6.4,.352,2.6,5.5,.475,1.4,1.8,.800,4.3,7.2,11.5,2.5,1.5,0.9,1.4,6.1,13.4,,116.0,117.0,58,37,-1.0,53
