Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
28,Scottie Barnes,SG,22,TOR,24,24.0,838.0,10.5,21.8,.483,2.9,7.4,.394,7.6,14.4,.528,4.1,5.4,.753,3.8,8.9,12.7,7.8,2.3,1.7,3.4,2.8,28.0,,119.0,111.0,68,79,8.0,75
405,Pascal Siakam,PF,29,TOR,24,24.0,828.0,11.4,22.6,.504,1.4,5.3,.253,10.0,17.3,.582,5.7,7.7,.740,2.2,7.3,9.6,7.1,1.2,0.3,3.5,3.2,29.9,,115.0,116.0,54,45,-1.0,53
396,Dennis Schröder,PG,30,TOR,24,24.0,767.0,8.3,19.7,.421,2.7,7.5,.353,5.6,12.2,.464,4.2,4.8,.868,0.8,3.7,4.5,10.6,1.5,0.2,2.7,3.5,23.5,,117.0,118.0,61,29,-1.0,53
13,OG Anunoby,SF,26,TOR,20,20.0,658.0,8.9,18.3,.484,3.8,9.8,.394,5.0,8.6,.586,1.9,2.8,.684,1.6,4.9,6.4,3.6,1.6,1.0,2.5,3.7,23.5,,114.0,116.0,50,45,-2.0,49
350,Jakob Poeltl,C,28,TOR,24,24.0,642.0,8.9,12.4,.720,0.0,0.0,,8.9,12.4,.720,2.0,4.0,.509,5.4,10.2,15.5,4.2,1.3,2.1,2.7,4.9,19.9,,130.0,112.0,88,73,18.0,89
442,Gary Trent Jr.,SG,25,TOR,21,2.0,523.0,7.4,19.5,.381,3.6,10.2,.355,3.8,9.3,.410,1.8,3.0,.594,0.5,3.2,3.6,2.7,1.3,0.2,1.1,2.0,20.3,,102.0,119.0,23,23,-17.0,19
