Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
426,Jayson Tatum,PF,25,BOS,23,23.0,847.0,12.6,25.9,.487,4.0,11.5,.347,8.6,14.4,.598,7.2,9.0,.800,1.0,10.8,11.8,5.6,1.3,0.7,4.3,3.0,36.4,,116.0,109.0,58,89,7.0,73
65,Jaylen Brown,SF,27,BOS,22,22.0,750.0,12.4,26.5,.469,3.3,9.7,.338,9.1,16.8,.545,3.7,5.1,.718,1.0,5.9,6.9,4.8,1.8,1.0,3.5,4.2,31.8,,108.0,111.0,33,79,-3.0,45
192,Jrue Holiday,PG,33,BOS,21,21.0,731.0,6.8,15.2,.447,2.4,6.3,.383,4.4,8.9,.492,1.6,1.9,.828,2.4,7.1,9.5,6.8,1.1,1.2,2.9,2.4,17.6,,115.0,111.0,54,79,4.0,65
473,Derrick White,SG,29,BOS,20,20.0,655.0,7.4,15.3,.483,3.7,8.8,.427,3.7,6.6,.557,4.5,5.1,.882,1.1,4.7,5.8,7.5,1.8,1.3,2.8,3.5,23.0,,130.0,111.0,88,79,19.0,90
357,Kristaps Porziņģis,C,28,BOS,18,18.0,545.0,10.3,19.7,.525,2.7,8.3,.326,7.6,11.4,.669,7.6,9.1,.832,2.4,8.3,10.7,2.9,1.3,2.6,2.4,5.0,30.9,,128.0,108.0,86,92,20.0,91
197,Al Horford,C,37,BOS,21,8.0,551.0,5.3,10.8,.496,2.4,6.7,.360,2.9,4.1,.717,0.7,0.7,1.000,3.2,9.6,12.8,5.1,0.9,1.8,1.8,3.1,13.8,,130.0,109.0,88,89,21.0,92
