Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
441,Karl-Anthony Towns,PF,28,MIN,23,23.0,761.0,11.4,22.4,.510,3.0,7.1,.423,8.4,15.3,.550,5.9,6.6,.893,2.0,11.8,13.9,4.4,1.2,1.0,4.3,5.0,31.8,,115.0,105.0,54,97,10.0,79
94,Mike Conley,PG,36,MIN,23,23.0,682.0,6.3,14.1,.452,3.7,8.6,.430,2.6,5.4,.487,2.5,2.6,.946,0.7,4.3,5.0,9.9,1.6,0.1,1.7,3.0,18.9,,133.0,110.0,91,85,23.0,94
122,Anthony Edwards,SG,22,MIN,20,20.0,672.0,11.9,27.1,.437,3.3,8.8,.369,8.6,18.3,.470,7.2,8.5,.846,1.1,6.8,7.9,7.5,1.8,0.7,4.6,2.7,34.2,,109.0,107.0,36,94,2.0,61
287,Jaden McDaniels,SF,23,MIN,13,12.0,311.0,8.8,15.6,.560,2.0,5.8,.351,6.7,9.9,.683,0.5,0.6,.750,1.3,3.3,4.5,2.3,0.9,0.8,1.9,6.7,20.0,,116.0,111.0,58,79,5.0,68
151,Rudy Gobert,C,31,MIN,23,23.0,743.0,7.5,12.1,.616,0.0,0.0,,7.5,12.1,.616,4.7,7.6,.621,5.7,12.7,18.4,1.8,1.0,3.7,2.4,4.5,19.6,,125.0,101.0,82,99,24.0,94
5,Nickeil Alexander-Walker,SG,25,MIN,23,11.0,545.0,5.5,13.1,.422,3.1,8.7,.361,2.4,4.5,.540,0.8,1.3,.600,1.0,3.2,4.2,5.3,1.7,1.5,2.4,4.1,15.0,,108.0,109.0,33,89,-1.0,53
