Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
62,Bruce Brown,SG,27,IND,22,22.0,701.0,6.5,14.0,.463,1.7,5.2,.325,4.8,8.8,.545,3.1,3.9,.797,1.0,5.8,6.8,4.2,1.8,0.3,1.6,3.4,17.8,,116.0,121.0,58,14,-5.0,41
440,Obi Toppin,PF,25,IND,22,21.0,526.0,9.5,15.9,.599,2.3,6.4,.356,7.3,9.5,.761,2.4,3.0,.794,1.9,4.5,6.4,2.4,1.1,1.1,1.5,4.1,23.7,,132.0,122.0,90,10,10.0,79
167,Tyrese Haliburton,PG,23,IND,20,20.0,683.0,12.2,23.6,.520,5.0,11.5,.439,7.2,12.0,.598,5.5,6.3,.872,0.9,4.8,5.7,16.1,1.3,0.9,3.4,1.5,35.1,,138.0,122.0,95,10,16.0,86
280,Bennedict Mathurin,SF,21,IND,22,12.0,556.0,8.8,20.1,.440,2.2,6.2,.360,6.6,13.9,.476,5.1,6.2,.827,2.1,5.0,7.1,3.9,1.1,0.3,2.6,3.8,25.0,,111.0,123.0,40,7,-12.0,26
445,Myles Turner,C,27,IND,22,22.0,612.0,10.7,20.7,.518,2.3,7.1,.330,8.4,13.7,.615,5.3,6.8,.769,3.2,10.1,13.3,2.2,1.1,3.5,2.3,5.4,29.1,,120.0,116.0,71,45,4.0,65
187,Buddy Hield,SF,31,IND,22,10.0,566.0,8.8,19.3,.454,5.0,13.0,.388,3.7,6.3,.590,0.9,1.1,.846,1.4,4.4,5.8,4.6,1.5,1.0,2.5,3.5,23.5,,114.0,122.0,50,10,-8.0,33
