Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
253,Kawhi Leonard,SF,32,LAC,24,24.0,838.0,12.2,24.1,.505,3.2,7.6,.423,8.9,16.5,.543,5.4,6.3,.861,1.4,6.8,8.2,5.0,2.2,1.0,2.2,2.2,33.0,,124.0,111.0,80,79,13.0,83
144,Paul George,PF,33,LAC,23,23.0,808.0,10.8,24.4,.445,4.4,11.3,.385,6.5,13.0,.498,5.5,5.9,.928,1.0,7.3,8.2,5.6,2.4,0.4,3.2,3.9,31.5,,115.0,110.0,54,85,5.0,68
170,James Harden,SG,34,LAC,19,19.0,646.0,7.0,15.0,.465,3.5,8.3,.418,3.5,6.7,.523,6.4,7.4,.876,0.5,6.3,6.8,10.5,2.2,1.1,3.4,3.0,23.9,,129.0,111.0,87,79,18.0,89
272,Terance Mann,SG,27,LAC,18,14.0,475.0,4.8,11.2,.431,1.1,5.3,.216,3.7,6.0,.621,1.2,2.0,.632,2.2,4.7,6.9,3.8,1.4,0.6,1.2,3.5,12.1,,112.0,114.0,44,60,-2.0,49
498,Ivica Zubac,C,26,LAC,24,24.0,646.0,9.4,15.2,.620,0.0,0.0,,9.4,15.2,.620,2.9,4.9,.585,5.5,10.8,16.3,1.7,0.3,2.7,2.3,5.2,21.7,,123.0,110.0,78,85,13.0,83
360,Norman Powell,SG,30,LAC,24,0.0,599.0,8.6,17.5,.491,3.5,8.1,.434,5.1,9.4,.539,4.3,5.1,.855,0.3,3.8,4.2,2.2,1.3,0.9,2.0,3.8,25.0,,120.0,115.0,71,52,5.0,68
