Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
183,Gordon Hayward,SF,33,CHO,21,21.0,685.0,8.8,18.9,.468,1.4,3.8,.370,7.4,15.1,.493,4.0,5.2,.767,1.7,5.7,7.4,7.1,1.8,0.6,3.0,2.8,23.0,,112.0,121.0,44,14,-9.0,31
21,LaMelo Ball,PG,22,CHO,15,15.0,501.0,12.8,28.8,.443,5.0,13.0,.388,7.7,15.8,.488,5.2,6.1,.857,2.2,5.7,7.9,11.9,2.0,0.4,5.7,5.0,35.8,,112.0,121.0,44,14,-9.0,31
298,Brandon Miller,SF,21,CHO,20,14.0,640.0,8.5,19.0,.446,3.1,7.7,.402,5.4,11.3,.477,2.3,2.9,.816,1.5,4.7,6.2,3.3,1.1,0.8,2.5,4.5,22.4,,108.0,123.0,33,7,-15.0,22
384,Terry Rozier,SG,29,CHO,13,13.0,480.0,11.5,23.8,.483,3.6,9.0,.404,7.9,14.8,.531,4.7,5.5,.855,0.7,3.8,4.5,10.0,1.4,0.6,3.1,2.8,31.4,,121.0,123.0,74,7,-2.0,49
483,Mark Williams,C,22,CHO,19,19.0,508.0,9.3,14.4,.649,0.0,0.0,,9.3,14.4,.649,4.4,6.1,.719,7.2,10.3,17.5,2.1,1.5,1.9,1.6,4.8,23.1,,139.0,117.0,95,37,22.0,93
463,P.J. Washington,PF,25,CHO,21,12.0,626.0,8.2,18.9,.433,3.1,9.4,.328,5.1,9.5,.537,2.2,3.0,.718,1.8,6.5,8.3,3.9,1.2,1.5,2.3,4.5,21.7,,107.0,121.0,30,14,-14.0,23
