Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
246,Kyle Kuzma,PF,28,WAS,23,23.0,715.0,13.5,28.2,.477,3.4,9.2,.366,10.1,19.0,.531,3.9,5.0,.792,1.4,7.5,8.9,6.6,0.5,0.9,3.6,2.8,34.2,,108.0,124.0,33,3,-16.0,21
15,Deni Avdija,SF,23,WAS,23,23.0,619.0,8.1,15.7,.519,1.7,4.9,.348,6.4,10.8,.597,2.8,3.3,.841,2.0,7.4,9.4,6.9,1.4,0.6,2.5,3.7,20.8,,119.0,122.0,68,10,-3.0,45
232,Tyus Jones,PG,27,WAS,23,23.0,615.0,8.1,16.2,.502,2.0,5.6,.347,6.2,10.5,.586,1.0,1.3,.765,0.5,4.3,4.7,8.4,1.7,0.4,1.3,1.4,19.2,,121.0,124.0,74,3,-3.0,45
352,Jordan Poole,SG,24,WAS,22,22.0,641.0,9.3,23.2,.401,2.8,9.7,.291,6.5,13.6,.479,4.7,5.4,.867,0.6,3.2,3.9,5.3,1.7,0.6,4.6,4.8,26.1,,94.0,124.0,13,3,-30.0,10
138,Daniel Gafford,C,25,WAS,20,20.0,495.0,7.9,11.4,.697,0.0,0.0,,7.9,11.4,.697,2.9,4.4,.660,4.8,8.7,13.5,3.1,1.2,3.8,2.1,6.4,18.8,,135.0,118.0,93,29,17.0,87
96,Bilal Coulibaly,SF,19,WAS,22,1.0,590.0,6.0,11.3,.528,2.2,5.2,.424,3.8,6.1,.615,1.7,2.9,.595,1.3,6.0,7.2,3.1,1.9,1.2,2.7,3.1,15.8,,108.0,121.0,33,14,-13.0,24
