Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
113,Luka Dončić,PG,24,DAL,23,23.0,844.0,14.5,29.8,.486,5.0,13.1,.381,9.5,16.7,.568,8.3,10.4,.793,0.9,9.7,10.6,11.8,1.8,0.7,5.3,2.3,42.2,,121.0,114.0,74,60,7.0,73
229,Derrick Jones Jr.,SF,26,DAL,23,22.0,545.0,7.0,14.7,.479,3.2,8.7,.374,3.8,6.0,.632,2.1,2.9,.727,2.3,5.4,7.6,1.8,1.4,1.8,1.8,3.3,19.4,,118.0,116.0,65,45,2.0,61
478,Grant Williams,PF,25,DAL,21,21.0,623.0,5.5,12.8,.425,3.8,9.2,.408,1.7,3.6,.468,1.5,2.4,.645,1.8,4.1,5.9,2.6,0.5,0.8,1.5,4.4,16.2,,117.0,120.0,61,18,-3.0,45
208,Kyrie Irving,SG,31,DAL,17,17.0,541.0,12.9,27.4,.471,3.8,9.9,.384,9.1,17.5,.520,5.0,5.5,.903,0.9,5.0,5.9,7.8,1.8,0.4,2.0,2.7,34.6,,122.0,117.0,76,37,5.0,68
260,Dereck Lively II,C,19,DAL,22,21.0,576.0,7.8,10.5,.740,0.0,0.2,.000,7.8,10.4,.752,1.4,2.4,.586,5.4,9.2,14.6,2.2,1.2,3.0,2.3,5.8,17.0,,136.0,113.0,93,67,23.0,94
169,Tim Hardaway Jr.,SF,31,DAL,21,0.0,595.0,9.9,23.6,.420,5.7,15.2,.376,4.2,8.4,.500,3.8,4.3,.870,0.6,5.1,5.8,2.6,0.4,0.0,1.4,1.9,29.3,,115.0,121.0,54,14,-6.0,38
