Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
268,Kyle Lowry,PG,37,MIA,24,24.0,715.0,5.4,11.9,.451,3.6,8.3,.442,1.7,3.6,.472,1.8,2.1,.839,1.3,5.3,6.6,6.8,2.1,0.5,2.3,4.6,16.2,,122.0,114.0,76,60,8.0,75
75,Jimmy Butler,PF,34,MIA,21,21.0,713.0,9.7,20.9,.462,1.3,3.3,.396,8.3,17.6,.475,10.6,11.9,.884,2.9,4.8,7.7,6.8,1.6,0.6,2.6,1.4,31.2,,125.0,116.0,82,45,9.0,77
376,Duncan Robinson,SF,29,MIA,23,15.0,688.0,8.7,18.0,.484,5.1,11.6,.442,3.6,6.4,.562,2.0,2.5,.800,0.5,4.0,4.5,4.8,0.8,0.2,2.1,3.9,24.6,,121.0,118.0,74,29,3.0,63
188,Haywood Highsmith,PF,27,MIA,15,14.0,334.0,5.2,12.1,.427,2.4,7.2,.327,2.8,4.9,.576,1.6,1.9,.846,1.3,4.7,6.0,3.4,2.5,1.6,2.2,4.7,14.3,,106.0,112.0,29,73,-6.0,38
2,Bam Adebayo,C,26,MIA,16,16.0,537.0,12.1,23.2,.522,0.1,0.3,.333,12.0,22.9,.524,8.3,10.3,.813,3.0,11.5,14.6,5.7,1.7,1.5,3.6,3.6,32.6,,116.0,111.0,58,79,5.0,68
218,Jaime Jaquez Jr.,SF,22,MIA,25,4.0,693.0,9.0,17.5,.514,2.1,5.4,.395,6.9,12.1,.567,2.9,3.4,.854,1.8,4.5,6.4,4.9,1.6,0.4,2.8,4.3,23.1,,115.0,116.0,54,45,-1.0,53
