Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
61,Dillon Brooks,SF,28,HOU,21,21.0,652.0,7.6,16.5,.463,2.8,7.1,.394,4.8,9.4,.516,2.9,3.4,.844,1.2,4.3,5.5,2.7,1.4,0.1,3.2,6.4,20.9,,105.0,110.0,27,85,-5.0,41
160,Jalen Green,SG,21,HOU,21,21.0,651.0,9.5,23.3,.409,3.1,9.6,.323,6.4,13.7,.470,6.4,8.0,.802,0.5,6.7,7.2,4.8,0.8,0.5,3.8,2.5,28.6,,102.0,110.0,23,85,-8.0,33
414,Jabari Smith Jr.,PF,20,HOU,21,21.0,637.0,8.1,16.5,.493,2.6,7.1,.370,5.5,9.4,.587,2.0,2.8,.722,2.9,11.2,14.2,2.9,1.0,1.2,2.2,5.0,20.9,,115.0,106.0,54,96,9.0,77
450,Fred VanVleet,PG,29,HOU,20,20.0,760.0,6.9,18.4,.378,3.9,10.4,.373,3.0,7.9,.385,3.5,4.1,.857,0.4,5.1,5.5,11.1,1.2,0.6,2.3,2.3,21.3,,117.0,110.0,61,85,7.0,73
398,Alperen Şengün,C,21,HOU,21,21.0,679.0,12.3,23.2,.533,1.2,3.8,.308,11.2,19.4,.577,4.6,7.0,.649,3.7,10.2,13.9,8.3,1.4,1.2,4.1,4.9,30.4,,115.0,106.0,54,96,9.0,77
425,Jae'Sean Tate,SF,28,HOU,20,0.0,356.0,6.2,12.3,.506,1.9,5.4,.359,4.3,6.9,.620,1.2,1.8,.692,2.8,7.2,10.0,3.2,2.5,0.8,1.1,6.6,15.6,,124.0,105.0,80,97,19.0,90
