Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
422,Max Strus,SF,27,CLE,25,25.0,865.0,6.9,16.7,.417,4.0,10.8,.365,3.0,5.8,.515,1.5,1.9,.794,1.1,6.6,7.7,5.4,1.3,0.7,2.1,4.2,19.4,,112.0,114.0,44,60,-2.0,49
308,Evan Mobley,PF,22,CLE,21,21.0,705.0,9.8,17.2,.573,0.1,0.7,.200,9.7,16.5,.588,3.5,4.5,.769,3.9,11.4,15.3,4.2,1.2,2.4,3.3,4.2,23.3,,116.0,109.0,58,89,7.0,73
307,Donovan Mitchell,SG,27,CLE,20,20.0,717.0,13.0,28.6,.455,4.1,11.9,.345,8.9,16.8,.533,7.4,8.5,.879,1.4,6.5,8.0,7.0,2.6,0.5,3.7,2.8,37.6,,115.0,111.0,54,79,4.0,65
140,Darius Garland,PG,24,CLE,20,20.0,680.0,10.9,23.1,.470,2.6,7.5,.346,8.3,15.6,.530,5.5,6.5,.835,0.9,3.1,4.0,8.5,2.3,0.3,5.5,2.2,29.8,,107.0,114.0,30,60,-7.0,36
7,Jarrett Allen,C,25,CLE,20,20.0,576.0,8.7,13.0,.667,0.0,0.0,,8.7,13.0,.667,3.6,5.3,.694,4.8,9.0,13.8,4.0,1.2,1.6,3.1,4.9,21.0,,128.0,111.0,86,79,17.0,87
326,Georges Niang,PF,30,CLE,25,1.0,562.0,6.3,15.7,.403,3.2,9.2,.349,3.1,6.5,.480,1.2,1.3,.933,0.8,7.5,8.3,2.6,0.6,0.2,1.5,5.0,17.1,,106.0,115.0,29,52,-9.0,31
