Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
56,Mikal Bridges,SF,27,BRK,24,24.0,830.0,11.4,23.6,.484,3.1,8.2,.381,8.3,15.4,.538,5.8,6.7,.860,1.5,6.5,7.9,5.4,1.4,0.7,3.5,2.4,31.7,,117.0,117.0,61,37,0.0,56
111,Spencer Dinwiddie,PG,30,BRK,23,23.0,720.0,7.5,18.5,.403,3.3,10.0,.333,4.1,8.6,.484,4.9,6.2,.791,0.8,5.4,6.2,10.1,1.3,0.2,2.8,2.8,23.1,,119.0,118.0,68,29,1.0,59
129,Dorian Finney-Smith,PF,30,BRK,23,17.0,688.0,6.5,13.6,.474,4.0,9.0,.441,2.5,4.6,.538,0.3,0.4,.667,3.4,5.1,8.5,2.0,1.1,1.1,1.5,3.6,17.2,,125.0,118.0,82,29,7.0,73
222,Cameron Johnson,PF,27,BRK,17,17.0,494.0,9.0,19.7,.457,4.1,10.5,.387,4.9,9.2,.538,2.2,2.6,.846,2.9,6.4,9.3,4.4,1.4,0.3,2.1,2.9,24.2,,120.0,117.0,71,37,3.0,63
89,Nic Claxton,C,24,BRK,15,15.0,402.0,9.5,14.8,.639,0.1,0.1,1.000,9.4,14.7,.636,2.3,3.9,.594,5.6,11.2,16.8,2.7,0.9,4.0,1.3,4.9,21.4,,136.0,111.0,93,79,25.0,95
333,Royce O'Neale,SF,30,BRK,23,5.0,634.0,4.7,12.0,.391,4.0,9.9,.403,0.7,2.1,.333,0.5,0.9,.583,1.2,7.6,8.9,5.8,1.4,1.3,1.5,4.7,14.0,,122.0,115.0,76,52,7.0,73
