Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,ORtg_percentile,DRtg_percentile,Net_Rating,Net_Rating_percentile
224,Keldon Johnson,SF,24,SAS,22,22.0,729.0,9.0,18.8,.478,3.0,8.0,.371,6.0,10.8,.557,3.5,4.6,.775,1.6,7.5,9.1,5.9,1.3,0.5,2.0,3.6,24.5,,118.0,119.0,65,23,-1.0,53
417,Jeremy Sochan,PG,20,SAS,23,22.0,672.0,6.7,15.8,.420,1.4,3.9,.364,5.3,12.0,.439,2.4,3.2,.756,2.5,6.0,8.5,6.7,1.1,0.4,4.0,4.6,17.1,,98.0,120.0,18,18,-22.0,13
469,Victor Wembanyama,PF,20,SAS,22,22.0,670.0,11.2,25.6,.437,2.2,7.9,.274,9.0,17.6,.510,5.3,6.7,.792,3.8,12.7,16.5,3.9,2.0,4.6,5.3,4.1,29.8,,97.0,109.0,16,89,-12.0,26
451,Devin Vassell,SG,23,SAS,18,12.0,525.0,10.3,22.2,.464,4.0,11.3,.357,6.3,10.9,.574,3.7,4.7,.774,0.8,4.7,5.5,4.6,1.6,0.2,2.3,1.7,28.3,,112.0,120.0,44,18,-8.0,33
93,Zach Collins,C,26,SAS,23,20.0,637.0,8.3,17.4,.475,1.8,6.5,.284,6.4,10.9,.588,3.7,4.6,.806,3.3,6.9,10.2,6.1,1.1,1.0,4.4,5.7,22.1,,106.0,119.0,29,23,-13.0,24
54,Malaki Branham,SG,20,SAS,23,11.0,489.0,7.9,18.2,.434,2.1,7.2,.293,5.8,11.0,.526,1.2,1.3,.923,0.6,3.0,3.6,4.8,1.0,0.3,2.7,2.9,19.0,,97.0,122.0,16,10,-25.0,12
